Test,Run,Clock Cycles 
1,1,134.25 
1,2,137.25 
1,3,194.00 
1,4,119.00 
1,5,129.00 
1,6,71.50 
1,7,157.25 
1,8,163.25 
1,9,131.00 
1,10,123.25 
1,11,570.00 
1,12,464.25 
1,13,151.50 
1,14,99.75 
1,15,101.75 
1,16,124.75 
1,17,202.75 
1,18,237.00 
1,19,122.00 
1,20,144.25 
1,21,161.50 
1,22,200.25 
1,23,135.50 
1,24,115.00 
1,25,410.00 
1,26,84.50 
1,27,182.25 
1,28,188.50 
1,29,634.50 
1,30,115.25 
1,31,230.25 
1,32,111.00 
1,33,521.50 
1,34,141.00 
1,35,120.50 
1,36,129.00 
1,37,155.00 
1,38,170.00 
1,39,129.25 
1,40,130.00 
1,41,143.50 
1,42,144.00 
1,43,115.75 
1,44,238.50 
1,45,119.25 
1,46,141.25 
1,47,204.75 
1,48,118.50 
1,49,195.25 
1,50,174.00 
1,51,105.25 
1,52,250.25 
1,53,151.00 
1,54,221.00 
1,55,189.75 
1,56,156.75 
1,57,186.00 
1,58,187.00 
1,59,189.25 
1,60,361.00 
1,61,198.25 
1,62,108.50 
1,63,162.75 
1,64,108.50 
1,65,577.50 
1,66,233.00 
1,67,335.50 
1,68,254.00 
1,69,118.00 
1,70,130.00 
1,71,221.25 
1,72,139.75 
1,73,108.75 
1,74,205.00 
1,75,163.25 
1,76,183.75 
1,77,120.75 
1,78,107.75 
1,79,88.00 
1,80,105.75 
1,81,472.00 
1,82,116.00 
1,83,247.00 
1,84,353.50 
1,85,139.25 
1,86,157.25 
1,87,191.75 
1,88,103.00 
1,89,135.75 
1,90,332.50 
1,91,140.75 
1,92,111.75 
1,93,187.25 
1,94,118.25 
1,95,335.50 
1,96,155.75 
1,97,195.25 
1,98,210.00 
1,99,108.25 
1,100,225.25 
2,1,23.00 
2,2,30.13 
2,3,12.91 
2,4,55.50 
2,5,30.00 
2,6,39.34 
2,7,11.75 
2,8,32.19 
2,9,29.31 
2,10,33.88 
2,11,37.06 
2,12,12.47 
2,13,13.09 
2,14,13.16 
2,15,12.84 
2,16,12.84 
2,17,21.91 
2,18,71.91 
2,19,38.69 
2,20,26.47 
2,21,13.69 
2,22,13.19 
2,23,12.09 
2,24,60.25 
2,25,18.75 
2,26,14.03 
2,27,23.88 
2,28,27.94 
2,29,53.44 
2,30,11.72 
